uuid,name,email,phone,description,tags,metadata.referrer,metadata.region,metadata.plan,metadata.source
aede90bd-b8cf-4b9e-b65e-a2ff5f35f7a7,Stephanie Miller,andresciro@example.org,+54745255341928,Earum unde porro dolor eveniet quisquam.,"vip,internal",figueroa.com,LK,enterprise,organic
25d2e358-2e72-459f-a840-21c91b8b2996,최정희,pi@example.com,+6262916697,Seem shoulder future fall citizen about reveal.,churned,underwood.biz,BI,free,referral
b1fd2c00-6690-43f1-9d05-a9aafcc540fe,高橋 康弘,coemyeongsug@example.org,+33255782489,Ut quidem porro quae id.,b2b,matsuda.com,CD,free,ads
109c9a6d-a49a-49f3-9ee0-4399b3bdadcf,김영호,aimeguerin@example.net,+5104518347,Interrompre réponse rien contenter blanc groupe goutte.,new-customer,yoshida.jp,HU,pro,referral
0d5c74d8-cbeb-4b57-ab2f-de4e65f7c98a,박승현,eito@example.com,+330176801326,Distinctio id animi fugiat voluptates eaque quos.,b2b,familia.es,HU,enterprise,ads
f770977c-6b66-459b-b1c3-8f5e50d71740,Hugues Boyer,hshaw@example.org,+312819136193990,Maintenant train courir prince demi forcer plante.,"b2b,new-customer",suministros.net,TT,free,organic
ee29e98e-fb80-4f0e-b5e6-239fa787b8b0,Capucine-Arnaude Tanguy,seongmin51@example.org,+33484348740,Stop analysis four capital woman claim.,"b2b,internal",yamada.com,PK,enterprise,referral
2548850c-4afd-44ae-a041-b1098d71186a,吉田 篤司,rika05@example.org,+330532934060,Porte travers quand cou groupe trouver titre.,"new-customer,churned,premium",agusti.com,AZ,enterprise,ads
a161438b-a16f-4009-815e-4339ea4135e5,中村 七夏,leonde-oliveira@example.net,+34849994680,リフトハンマー戦略的スペル見落とす。,"churned,b2b,new-customer",dupre.com,SD,free,organic
7eff4fb1-9517-416b-b4c2-dc527bfbe102,Margaret Morin de la Maillet,takumatakahashi@example.org,+34945320163,Iure nam totam commodi consequatur iure minus.,"churned,new-customer,vip",anseongseo.net,JM,free,ads
6e540dc6-21e8-45c7-a502-d67fbf74d24a,Sophie Leroux,wjove@example.org,+3471434558,Character him check degree.,"internal,vip",faivre.fr,WS,free,ads
89953ea8-d22b-4e65-8ca1-0a29f2cec4bd,Sébastien Gillet,ortizmarc@example.com,+34987893734,Adipisci excepturi perspiciatis illo cumque iusto consectetur.,"internal,churned,premium",muro.net,MW,pro,ads
920625a0-7f26-41ec-ae77-9d8bb6d15719,Toribio Serrano Espada,nicholas37@example.com,+4641708053,Senior wear current.,"b2b,vip,premium",carlier.com,BA,enterprise,ads
4b0dd85f-f2c0-4bbf-aae0-8ce5e983ba8e,高橋 陽子,tamirodriguez@example.org,+6319314919,Mouth product attention positive actually information.,"internal,vip",hernandez.org,PT,enterprise,ads
abc35062-31f5-4ddd-af2f-0cd0d83b6c55,Isa Ledesma Mora,ihyeonu@example.com,+3676837770,Porro esse neque labore minus incidunt.,,suministros.org,SO,pro,ads
0c7eaf7c-501d-4130-a623-958b7e26ce82,鈴木 修平,nakajimayumiko@example.net,+6432524082,Factor want point sell bill activity expect.,,benard.fr,KP,pro,referral
831b7b88-1b1a-4f53-888d-6cb3f3907195,Angelina Baeza Cordero,byeongceol31@example.net,+34877867749,Necessitatibus animi vero aut quis.,"premium,new-customer,internal",noe.es,BI,enterprise,referral
b2099471-9ad3-4014-9b10-e91dba1bbc6e,박예준,itomiki@example.com,+34821349361,Paysan tel salut autour colon.,"new-customer,internal",janggim.com,BO,free,referral
42d6b65a-6e59-4237-97f4-de10db334a0a,Pancho Heriberto Lladó Vall,fnavarro@example.net,+959940139904902,鉱山腐った学生彼。,,hayashi.org,CM,pro,ads
2917f5ed-7fe7-4c7e-837b-3fb0056345fd,Elvira Pérez Arco,mirandajose-antonio@example.com,+34888846773,Corporis deleniti nobis quia consequatur architecto quo.,internal,real.com,LS,enterprise,ads
328c94e8-d9c5-4176-ab84-0224560206a9,Clémence Cohen,vbarre@example.net,+34803576627,Maybe opportunity thank them.,"new-customer,b2b,vip",vera.org,TZ,free,ads
c8910e78-4789-4cfe-bf6d-4f6270ea8fb3,清水 真綾,melissa86@example.com,+34988091343,Within set region beyond coach federal.,,talleres.com,PW,free,ads
5ccdeb89-f90e-4eed-878c-1b9fc95b4bec,Donato Requena Escolano,minjunmun@example.net,+6485217594647,Autem fugit facere eos praesentium accusantium rerum.,"new-customer,premium,vip",nguyen.com,MR,pro,organic
14f6229a-5b33-437d-b376-007ea5f38905,山崎 学,hanakosuzuki@example.net,+77069521456232,Totam velit voluptas eos sit.,,alimentacion.org,UZ,free,referral
da6a881e-112c-4674-9389-417c01955805,小川 晃,yamadamai@example.net,+5137098593,Travel few impact cause watch fight manage.,"churned,vip",mccarty-taylor.com,TH,enterprise,referral
2cda417b-ce6c-4605-a936-4b4c4ca94fdd,Colette Legros,rgilbert@example.org,+54331713900532,Ni rôle dehors remercier réserver.,,clay.biz,MN,enterprise,referral
f8579e2f-35fe-42e3-ba0f-71c3115b1144,문민수,chiyonakamura@example.org,+330630839084,Aperiam laboriosam illo.,"churned,internal",baron.com,ID,free,organic
d54b49c5-3902-4961-895f-5d398af715bb,이재현,alex98@example.com,+34982961183,Suscipit impedit repudiandae id quas est est.,"churned,vip,internal",joseph-wallace.com,UZ,pro,referral
bb615d50-3fb7-4cd1-a55a-9a26144d9977,Anna Davis,sayurisato@example.net,+330415024455,Thank not husband center.,"b2b,churned",kobayashi.com,BJ,pro,referral
35bae383-d810-4323-9c9c-15a94f2d8ba8,小林 裕太,saitosotaro@example.org,+330229476797,Dolor maiores exercitationem beatae perspiciatis.,"b2b,premium",reese.biz,PH,free,organic
0ea12413-a4e1-4543-8ed6-16b1f10e3564,Amor Adelaida Fuente Mata,yunseoi@example.org,+86222683885160,Similique nemo nemo quae.,,laine.org,GN,enterprise,ads
c942b2c2-12f8-415f-812c-af5544ca2a06,吉田 和也,hcoe@example.org,+34902535218,Member town glass road standard spring door.,"new-customer,vip",consultoria.com,PK,enterprise,organic
a0d2e3b5-bb93-4b92-84d5-f3ef293996c6,Priscila Sanchez Moraleda,ryoheisuzuki@example.com,+9542119986,Officiis eum labore corrupti aperiam aut tempore.,"churned,b2b,new-customer",gimjo.org,EE,enterprise,referral
b0cfd809-9bf4-4c9b-bb80-8ddd49575c01,오현준,aimeeguichard@example.com,+34946590515,Question exist rich prevent trade their four.,,okamoto.com,KH,pro,organic
5a7479ef-3eb4-4f69-b2da-057fdff2cce1,James Conner,yunjihun@example.com,+3422357332214,パントーンバスケットダニ虐待連続創傷腐った。,"b2b,new-customer,vip",marty.fr,UG,enterprise,organic
e713340b-d2cc-467d-ad58-97049971983e,송영수,yeongsun97@example.com,+8862392407,あったキャビン運ジャムソース教授ハードウェア。,,gamez.es,SN,free,ads
9d95ad73-9780-46ed-86fd-32b2352820e4,Hector Vallés Pereira,xji@example.org,+215622047277901,Molestias quas minus beatae.,,nguyen.fr,AR,pro,ads
d934a812-5c8a-4dc4-933c-e165f91a3c05,Jesusa Ana Belén Cantero Valero,lefortdenise@example.net,+330534706540,知覚シュガー催眠術虐待。,b2b,ito.com,GY,free,referral
69d94d81-8272-4048-b449-ca45e3f0d268,임현지,obduliacepeda@example.org,+34800430305,コピー学生見出しコーラス指名参加する装置。,"churned,internal,vip",takahashi.jp,LU,enterprise,referral
33d13bdc-a955-4218-baab-34fba45340bb,佐々木 直樹,kenichi61@example.com,+33449511544,Quaerat cumque ipsam ipsum quas tenetur nostrum ipsa.,"b2b,internal",rivera.biz,MV,enterprise,organic
de5301b6-4985-465f-a499-3032de6e3f61,김은영,casesbonifacio@example.org,+34822928565,私バーゲン発生する運特徴。,"churned,premium,vip",lambert.com,AE,enterprise,ads
0689b558-566d-4e33-bff2-f40733371fd7,Benjamín Cerdá,tthompson@example.com,+34821251778,試してみるベルベットサンプルフェミニスト。,"internal,b2b,churned",hampton-padilla.com,JO,enterprise,ads
